 Country                                |   Population
----------------------------------------+--------------
                                        |         1400
 Afghanistan                            |            0
 Albania                                |            0
 Algeria                                |        23339
 American Samoa                         |         1261
 Andorra                                |         8022
 Angola                                 |         4972
 Anguilla                               |            0
 Antigua and Barbuda                    |         2526
 Argentina                              |         1672
 Armenia                                |         1340
 Aruba                                  |        21500
 Australia                              |         8571
 Austria                                |         1144
 Azerbaijan                             |        21396
 Bahamas                                |           70
 Bahrain                                |        97458
 Bangladesh                             |        45631
 Barbados                               |          623
 Belarus                                |         5200
 Belgium                                |         2682
 Belize                                 |        17429
 Benin                                  |         9847
 Bhutan                                 |         2243
 Bolivia                                |        23569
 Bosnia and Herzegovina                 |         1078
 Botswana                               |         1409
 Brazil                                 |        13267
 British Virgin Islands                 |         8449
 Brunei Darussalam                      |        19151
 Bulgaria                               |         3589
 Burkina Faso                           |            0
 Burundi                                |         6083
 Cambodia                               |            0
 Cameroon                               |         5390
 Canada                                 |         2420
 Cape Verde                             |       113364
 Cayman Islands                         |        14845
 Central African Republic               |        27428
 Chad                                   |        35466
 Chile                                  |        10018
 China                                  |         9217
 Colombia                               |         5624
 Comoros                                |         1112
 Congo                                  |        19089
 Congo, Democratic Republic of the      |        27862
 Cook Islands                           |        13373
 Costa Rica                             |         3559
 Croatia                                |          640
 Cuba                                   |        27129
 Cyprus                                 |         1248
 Czech Republic                         |         1332
 Côte d'Ivoire                          |        27504
 Denmark                                |         2888
 Djibouti                               |         1873
 Dominica                               |        16571
 Dominican Republic                     |         5217
 Ecuador                                |        86498
 Egypt                                  |       368650
 El Salvador                            |         3033
 Equatorial Guinea                      |         2318
 Eritrea                                |         3753
 Estonia                                |         1468
 Ethiopia                               |        10531
 Faeroe Islands                         |         1363
 Fiji                                   |        77366
 Finland                                |         1048
 France                                 |        10220
 French Guiana                          |            0
 French Polynesia                       |         4609
 Gabon                                  |       578156
 Gambia                                 |         1831
 Georgia                                |            0
 Germany                                |         1600
 Ghana                                  |        42972
 Gibraltar                              |        26544
 Greece                                 |         1104
 Greenland                              |        14798
 Grenada                                |         3378
 Guadeloupe                             |        22859
 Guam                                   |            0
 Guatemala                              |       618397
 Guernsey                               |        16488
 Guinea                                 |        12547
 Guinea-Bissau                          |        10490
 Guyana                                 |         4867
 Haiti                                  |        34657
 Honduras                               |         1300
 Hong Kong, China                       |            0
 Hungary                                |        10016
 Iceland                                |        29971
 India                                  |        63035
 Indonesia                              |            0
 Iran, Islamic Rep. of                  |        43174
